"IQ","CP_avgOriginality","CA"
132.501274859765,2.04801587316667,80
129.900560938297,1.8757084735,76
147.36613972463,1.89270833333333,7
136.708312085671,1.837354453,102
124.979602243753,1.86901475733333,58
103.408975012749,1.74312996033333,26
106.111677715451,1.69746925766667,7
124.316675165732,1.912202381,128
90.9408465068842,1.94131054133333,17
100.374808771035,1.7656646595,8
96.3207547169811,1.54980158733333,19
117.202957674656,1.79428291616667,56
95.4793472718001,1.83855551116667,38
104.301376848547,1.83765774316667,49
105.346761856196,1.988973064,56
105.9586945436,1.7556895265,96
105.780214176441,1.73459757833333,27
115.41815400306,1.9323660715,93
97.9525752167262,1.87077910516667,29
120.135135135135,1.89812791383333,50
104.964303926568,1.82424242416667,61
87.8556858745538,1.61758582866667,30
110.803161652218,1.8123511905,54
97.4681285058644,1.70734126983333,41
106.009688934217,1.84376315216667,54
113.327383987761,1.8314814815,23
126.432942376339,1.92817927666667,23
98.2840387557369,1.81360630116667,27
123.398776134625,1.859209656,9
86.0453850076492,1.573263889,43
90.6858745537991,1.67660082983333,0
94.7399286078531,1.95525423666667,44
91.1193268740439,1.84907407416667,4
122.837837837838,1.69897486766667,47
108.788883222845,1.84732744116667,54
97.9270780214176,1.86954365083333,23
92.164711881693,1.79882703083333,20
129.135645079041,1.70128676466667,27
103.103008669046,1.8631769375,37
98.9979602243753,1.63678801916667,36
99.278429372769,1.807980762,19
110.930647628761,1.74201388883333,51
108.482916879143,1.714366883,13
91.272310045895,1.8796296295,40
98.5645079041306,1.66736937833333,16
91.1958184599694,1.85960081133333,34
126.509433962264,1.8580353825,80
114.321774604793,1.82333257716667,2
95.7343192248853,1.84946263216667,52
82.7817440081591,1.68882141233333,29
84.4135645079041,1.72128739316667,43
119.931157572667,1.79514083416667,18
96.2952575216726,1.844949495,12
113.403875573687,1.585689484,5
88.6970933197348,1.73930620066667,9
90.6858745537991,1.94021790916667,26
59.2733299337073,1.56240079366667,33
109.783273839878,1.884279946,19
123.067312595614,1.88746843416667,189
101.726160122387,1.89880952366667,6
125.20907700153,1.81284722233333,25
108.176950535441,1.93246337,33
111.058133605303,1.74322916666667,60
99.6608873023967,1.77440303783333,12
82.5267720550739,1.70514155983333,13
113.454869964304,1.67537920333333,20
102.440081591025,1.92809758766667,14
108.329933707292,1.90703162566667,16
107.310045894952,1.97311507916667,32
81.2519122896481,1.45173483916667,11
103.5619581846,1.79454866366667,62
104.58184599694,1.76455853166667,18
81.9403365629781,1.4756944445,0
99.6608873023967,1.70873015866667,9
114.117797042325,2.00131302516667,67
127.682304946456,1.8243844595,76
84.3880673125956,1.712836439,94
108.71239163692,1.71732026133333,19
111.772055073942,1.993950358,35
93.3375828658848,1.704780983,27
105.219275879653,1.66878156566667,68
98.5135135135135,1.68373015883333,15
100.502294747578,1.81543485433333,12
104.25038245793,1.84464285716667,21
123.755736868944,1.85982053083333,18
102.720550739419,1.7701118325,16
131.506884242733,1.95745244933333,34
94.8674145843957,1.69318181816667,2
121.843447220806,1.842041262,68
113.097909229985,1.92282763533333,32
123.347781744008,2.00416666666667,84
124.01070882203,1.945399721,208
96.0147883732789,1.68173215666667,30
116.489036206017,1.80435363266667,74
99.6098929117797,1.9598417785,23
117.30494645589,1.87673611116667,9
106.417644059153,1.9116161615,52
128.957164711882,2.12037037033333,20
107.667006629271,1.84114583333333,80
108.788883222845,1.895336831,131
115.775114737379,1.8576258355,79
114.372768995411,1.92548798266667,6
97.4171341152473,1.8379970045,106
107.284548699643,1.74537730783333,7
81.0224375318715,1.75620750433333,20
104.836817950025,1.70142195766667,11
88.6206017338093,1.72121822233333,31
101.624171341152,1.63829017,34
99.4059153493116,1.70438901066667,92
109.145843957165,1.872370338,35
115.035696073432,1.71146592816667,52
83.2406935237124,1.91057900433333,10
116.642019377868,1.90611331066667,99
100.476797552269,1.97691885966667,37
89.8189699133095,1.75152567333333,27
114.092299847017,1.923263889,81
129.008159102499,1.8502097635,21
121.180520142784,2.04633387433333,13
65.4436511983682,1.5747685185,15
99.9923508414074,1.96711309516667,2
97.646608873024,1.92390422083333,15
103.842427332993,1.94113006883333,17
121.384497705252,1.97789208083333,13
110.497195308516,1.93291170616667,46
104.173890872004,1.72361111116667,27
97.3151453340133,1.75645600016667,19
101.114227434982,1.82547799416667,34
96.7032126466089,1.798076923,6
119.344722080571,1.9529116715,47
111.899541050484,1.90250721483333,73
128.47271800102,2.06973039216667,48
98.4115247322794,1.855237379,15
115.673125956145,1.84576923083333,52
134.337072921979,1.57408963583333,72
109.553799082101,1.87647350616667,14
95.7598164201938,1.79734940983333,50
82.0933197348292,1.99498562783333,6
117.381438041815,1.93389423083333,17
122.863335033146,1.88619318166667,80
128.65119836818,1.71495840766667,7
