id;Factor;Power;Time;ROI;Frequency;Eyes
13;DELTA_aucp_POST_EC_parietotemporalPURE;0.1343;Post;Parietotemporal;Delta;EC
14;DELTA_aucp_POST_EC_parietotemporalPURE;0.1655;Post;Parietotemporal;Delta;EC
1;ALPHA_aucp_PRE_EO_midline;0.16422;Pre;Midline;Alpha;EO
2;ALPHA_aucp_PRE_EO_midline;0.26968000000000003;Pre;Midline;Alpha;EO
3;ALPHA_aucp_PRE_EO_midline;0.15052000000000001;Pre;Midline;Alpha;EO
4;ALPHA_aucp_PRE_EO_midline;0.15164;Pre;Midline;Alpha;EO
5;ALPHA_aucp_PRE_EO_midline;0.13352;Pre;Midline;Alpha;EO
6;ALPHA_aucp_PRE_EO_midline;0.2278;Pre;Midline;Alpha;EO
7;ALPHA_aucp_PRE_EO_midline;0.10895999999999999;Pre;Midline;Alpha;EO
8;ALPHA_aucp_PRE_EO_midline;0.09912;Pre;Midline;Alpha;EO
9;ALPHA_aucp_PRE_EO_midline;0.12704000000000001;Pre;Midline;Alpha;EO
10;ALPHA_aucp_PRE_EO_midline;0.14945999999999998;Pre;Midline;Alpha;EO
11;ALPHA_aucp_PRE_EO_midline;0.1846;Pre;Midline;Alpha;EO
12;ALPHA_aucp_PRE_EO_midline;0.24204;Pre;Midline;Alpha;EO
13;ALPHA_aucp_PRE_EO_midline;0.2129;Pre;Midline;Alpha;EO
14;ALPHA_aucp_PRE_EO_midline;0.13862;Pre;Midline;Alpha;EO
1;ALPHA_aucp_POST_EO_midline;0.22632;Post;Midline;Alpha;EO
2;ALPHA_aucp_POST_EO_midline;0.27476;Post;Midline;Alpha;EO
3;ALPHA_aucp_POST_EO_midline;0.19;Post;Midline;Alpha;EO
4;ALPHA_aucp_POST_EO_midline;0.22221999999999997;Post;Midline;Alpha;EO
5;ALPHA_aucp_POST_EO_midline;0.16542;Post;Midline;Alpha;EO
6;ALPHA_aucp_POST_EO_midline;0.2812;Post;Midline;Alpha;EO
7;ALPHA_aucp_POST_EO_midline;0.1122;Post;Midline;Alpha;EO
